person,image,pixel_0,pixel_1,pixel_2,pixel_3,pixel_4,pixel_5,pixel_6,pixel_7,pixel_8,pixel_9,pixel_10,pixel_11,pixel_12,pixel_13,pixel_14,pixel_15,pixel_16,pixel_17,pixel_18,pixel_19,pixel_20,pixel_21,pixel_22,pixel_23,pixel_24,pixel_25,pixel_26,pixel_27,pixel_28,pixel_29,pixel_30,pixel_31,pixel_32,pixel_33,pixel_34,pixel_35,pixel_36,pixel_37,pixel_38,pixel_39,pixel_40,pixel_41,pixel_42,pixel_43,pixel_44,pixel_45,pixel_46,pixel_47,pixel_48,pixel_49,pixel_50,pixel_51,pixel_52,pixel_53,pixel_54,pixel_55,pixel_56,pixel_57,pixel_58,pixel_59,pixel_60,pixel_61,pixel_62,pixel_63,pixel_64,pixel_65,pixel_66,pixel_67,pixel_68,pixel_69,pixel_70,pixel_71,pixel_72,pixel_73,pixel_74,pixel_75,pixel_76,pixel_77,pixel_78,pixel_79,pixel_80,pixel_81,pixel_82,pixel_83,pixel_84,pixel_85,pixel_86,pixel_87,pixel_88,pixel_89,pixel_90,pixel_91,pixel_92,pixel_93,pixel_94,pixel_95,pixel_96,pixel_97,pixel_98,pixel_99,pixel_100,pixel_101,pixel_102,pixel_103,pixel_104,pixel_105,pixel_106,pixel_107,pixel_108,pixel_109,pixel_110,pixel_111,pixel_112,pixel_113,pixel_114,pixel_115,pixel_116,pixel_117,pixel_118,pixel_119,pixel_120,pixel_121,pixel_122,pixel_123,pixel_124,pixel_125,pixel_126,pixel_127,pixel_128,pixel_129,pixel_130,pixel_131,pixel_132,pixel_133,pixel_134,pixel_135,pixel_136,pixel_137,pixel_138,pixel_139,pixel_140,pixel_141,pixel_142,pixel_143,pixel_144,pixel_145,pixel_146,pixel_147,pixel_148,pixel_149,pixel_150,pixel_151,pixel_152,pixel_153,pixel_154,pixel_155,pixel_156,pixel_157,pixel_158,pixel_159,pixel_160,pixel_161,pixel_162,pixel_163,pixel_164,pixel_165,pixel_166,pixel_167,pixel_168,pixel_169,pixel_170,pixel_171,pixel_172,pixel_173,pixel_174,pixel_175,pixel_176,pixel_177,pixel_178,pixel_179,pixel_180,pixel_181,pixel_182,pixel_183,pixel_184,pixel_185,pixel_186,pixel_187,pixel_188,pixel_189,pixel_190,pixel_191,pixel_192,pixel_193,pixel_194,pixel_195,pixel_196,pixel_197,pixel_198,pixel_199,pixel_200,pixel_201,pixel_202,pixel_203,pixel_204,pixel_205,pixel_206,pixel_207,pixel_208,pixel_209,pixel_210,pixel_211,pixel_212,pixel_213,pixel_214,pixel_215,pixel_216,pixel_217,pixel_218,pixel_219,pixel_220,pixel_221,pixel_222,pixel_223,pixel_224,pixel_225,pixel_226,pixel_227,pixel_228,pixel_229,pixel_230,pixel_231,pixel_232,pixel_233,pixel_234,pixel_235,pixel_236,pixel_237,pixel_238,pixel_239,pixel_240,pixel_241,pixel_242,pixel_243,pixel_244,pixel_245,pixel_246,pixel_247,pixel_248,pixel_249,pixel_250,pixel_251,pixel_252,pixel_253,pixel_254,pixel_255
ivan,surprised.jpeg,400.0,1946.0,1953.0,1560.0,1431.0,955.0,820.0,761.0,804.0,914.0,1066.0,828.0,703.0,621.0,541.0,547.0,451.0,439.0,476.0,453.0,401.0,475.0,447.0,404.0,402.0,396.0,403.0,393.0,389.0,368.0,394.0,426.0,479.0,467.0,512.0,613.0,755.0,978.0,911.0,1073.0,1209.0,1294.0,1450.0,1740.0,1874.0,1832.0,2047.0,2221.0,2540.0,2598.0,2778.0,2315.0,2715.0,2592.0,2622.0,2811.0,2398.0,2484.0,2599.0,2556.0,2699.0,2962.0,3133.0,3150.0,3809.0,3306.0,3210.0,3381.0,3342.0,3497.0,3678.0,3565.0,3517.0,3715.0,3492.0,3496.0,3515.0,3659.0,3539.0,3861.0,3685.0,3556.0,3398.0,3373.0,3433.0,3625.0,3553.0,3251.0,3236.0,3108.0,3167.0,3441.0,3354.0,3114.0,2973.0,3008.0,3108.0,2879.0,2549.0,2912.0,3233.0,3198.0,3365.0,3520.0,2967.0,3701.0,3504.0,2772.0,2484.0,2547.0,2633.0,2643.0,2762.0,2646.0,2472.0,2670.0,2692.0,2799.0,2826.0,2825.0,3001.0,3224.0,3268.0,3580.0,3756.0,3951.0,3922.0,4253.0,3928.0,4172.0,4394.0,4397.0,4228.0,4347.0,4639.0,4647.0,4750.0,4594.0,4423.0,4311.0,4500.0,4550.0,4765.0,5383.0,5161.0,4965.0,6116.0,6171.0,6351.0,6652.0,7017.0,8719.0,7453.0,8226.0,8470.0,5786.0,5810.0,5661.0,5988.0,5673.0,5806.0,5734.0,6346.0,7151.0,8320.0,8743.0,10047.0,10768.0,11286.0,11393.0,10577.0,12862.0,14307.0,12886.0,13060.0,15520.0,13523.0,14203.0,17898.0,18545.0,16784.0,22159.0,20102.0,19304.0,24920.0,16008.0,15099.0,19794.0,10239.0,8258.0,10607.0,8513.0,8141.0,9691.0,8262.0,8699.0,11265.0,13195.0,15587.0,14052.0,10678.0,13502.0,12241.0,7336.0,5624.0,5955.0,5008.0,5218.0,5765.0,6006.0,6391.0,8132.0,9241.0,9999.0,10639.0,8215.0,7744.0,8259.0,7118.0,6571.0,6950.0,6767.0,6401.0,7102.0,6551.0,6000.0,6367.0,4692.0,4395.0,4802.0,4366.0,4098.0,3786.0,3331.0,2638.0,2144.0,1424.0,1348.0,1076.0,807.0,647.0,635.0,656.0,589.0,772.0,501.0,501.0,289.0,60.0,37.0,13.0,7.0,6.0,4.0,2.0,0.0
ivan,surprised.jpeg,130418.0,1916.0,1940.0,1596.0,1488.0,970.0,827.0,804.0,774.0,903.0,1064.0,918.0,675.0,626.0,598.0,537.0,482.0,508.0,478.0,467.0,432.0,460.0,427.0,440.0,410.0,380.0,431.0,399.0,416.0,420.0,384.0,460.0,492.0,497.0,518.0,614.0,711.0,961.0,913.0,1077.0,1169.0,1369.0,1392.0,1705.0,1826.0,1765.0,2005.0,2141.0,2414.0,2485.0,2572.0,2273.0,2470.0,2445.0,2426.0,2559.0,2220.0,2388.0,2487.0,2367.0,2577.0,2812.0,2953.0,3091.0,3617.0,3255.0,3016.0,3111.0,3160.0,3317.0,3473.0,3399.0,3295.0,3632.0,3381.0,3226.0,3364.0,3465.0,3425.0,3669.0,3456.0,3414.0,3112.0,3212.0,3259.0,3486.0,3188.0,3114.0,2947.0,2852.0,2889.0,3267.0,3045.0,2943.0,2797.0,3010.0,2837.0,2686.0,2474.0,2679.0,2965.0,3046.0,3330.0,3367.0,2868.0,3489.0,3273.0,2464.0,2478.0,2397.0,2429.0,2480.0,2429.0,2450.0,2430.0,2469.0,2522.0,2527.0,2630.0,2635.0,2792.0,2913.0,2979.0,3250.0,3486.0,3654.0,3730.0,3729.0,3736.0,3787.0,3922.0,3857.0,3871.0,3900.0,4033.0,4141.0,4232.0,4088.0,3932.0,3716.0,3754.0,3934.0,4095.0,4402.0,4368.0,4447.0,5252.0,5641.0,5643.0,6227.0,6523.0,8192.0,6991.0,7654.0,7699.0,5244.0,5225.0,5140.0,5312.0,5205.0,5083.0,5168.0,5721.0,6525.0,7796.0,8053.0,9070.0,9742.0,10157.0,10346.0,9301.0,10772.0,12472.0,10948.0,11454.0,12692.0,9794.0,10666.0,12990.0,12878.0,12709.0,17208.0,16534.0,15351.0,20157.0,13942.0,13447.0,16877.0,8226.0,6712.0,9298.0,7434.0,7635.0,9063.0,7379.0,8231.0,10566.0,12566.0,15069.0,13319.0,10139.0,12778.0,11505.0,6462.0,4441.0,4154.0,3961.0,4231.0,5036.0,5301.0,5685.0,6947.0,7895.0,8632.0,8979.0,7329.0,6867.0,7660.0,6621.0,6058.0,6593.0,6475.0,6148.0,6853.0,6377.0,5984.0,6325.0,4664.0,4349.0,4775.0,4367.0,4084.0,3765.0,3336.0,2664.0,2109.0,1394.0,1334.0,1090.0,805.0,648.0,628.0,641.0,609.0,760.0,516.0,503.0,289.0,54.0,23.0,9.0,4.0,4.0,1.0,0.0,0.0
ivan,surprised.jpeg,400.0,1946.0,1953.0,1560.0,1431.0,955.0,820.0,761.0,804.0,914.0,1066.0,828.0,703.0,621.0,541.0,547.0,451.0,439.0,476.0,453.0,401.0,475.0,447.0,404.0,402.0,396.0,403.0,393.0,389.0,368.0,394.0,426.0,479.0,467.0,512.0,613.0,755.0,978.0,911.0,1073.0,1209.0,1294.0,1450.0,1740.0,1874.0,1832.0,2047.0,2221.0,2540.0,2598.0,2778.0,2315.0,2715.0,2592.0,2622.0,2811.0,2398.0,2484.0,2599.0,2556.0,2699.0,2962.0,3133.0,3150.0,3809.0,3306.0,3210.0,3381.0,3342.0,3497.0,3678.0,3565.0,3517.0,3715.0,3492.0,3496.0,3515.0,3659.0,3539.0,3861.0,3685.0,3556.0,3398.0,3373.0,3433.0,3625.0,3553.0,3251.0,3236.0,3108.0,3167.0,3441.0,3354.0,3114.0,2973.0,3008.0,3108.0,2879.0,2549.0,2912.0,3233.0,3198.0,3365.0,3520.0,2967.0,3701.0,3504.0,2772.0,2484.0,2547.0,2633.0,2643.0,2762.0,2646.0,2472.0,2670.0,2692.0,2799.0,2826.0,2825.0,3001.0,3224.0,3268.0,3580.0,3756.0,3951.0,3922.0,4253.0,3928.0,4172.0,4394.0,4397.0,4228.0,4347.0,4639.0,4647.0,4750.0,4594.0,4423.0,4311.0,4500.0,4550.0,4765.0,5383.0,5161.0,4965.0,6116.0,6171.0,6351.0,6652.0,7017.0,8719.0,7453.0,8226.0,8470.0,5786.0,5810.0,5661.0,5988.0,5673.0,5806.0,5734.0,6346.0,7151.0,8320.0,8743.0,10047.0,10768.0,11286.0,11393.0,10577.0,12862.0,14307.0,12886.0,13060.0,15520.0,13523.0,14203.0,17898.0,18545.0,16784.0,22159.0,20102.0,19304.0,24920.0,16008.0,15099.0,19794.0,10239.0,8258.0,10607.0,8513.0,8141.0,9691.0,8262.0,8699.0,11265.0,13195.0,15587.0,14052.0,10678.0,13502.0,12241.0,7336.0,5624.0,5955.0,5008.0,5218.0,5765.0,6006.0,6391.0,8132.0,9241.0,9999.0,10639.0,8215.0,7744.0,8259.0,7118.0,6571.0,6950.0,6767.0,6401.0,7102.0,6551.0,6000.0,6367.0,4692.0,4395.0,4802.0,4366.0,4098.0,3786.0,3331.0,2638.0,2144.0,1424.0,1348.0,1076.0,807.0,647.0,635.0,656.0,589.0,772.0,501.0,501.0,289.0,60.0,37.0,13.0,7.0,6.0,4.0,2.0,0.0
ivan,smiling.jpeg,3321.0,2768.0,2516.0,2212.0,2080.0,1674.0,1652.0,1511.0,1296.0,1276.0,1290.0,1193.0,1128.0,959.0,970.0,899.0,990.0,929.0,960.0,1056.0,951.0,959.0,975.0,901.0,934.0,963.0,976.0,890.0,940.0,947.0,937.0,991.0,992.0,996.0,1040.0,1109.0,1037.0,1030.0,1016.0,1123.0,1207.0,1276.0,1302.0,1308.0,1490.0,1533.0,1648.0,1827.0,1803.0,1722.0,1776.0,1982.0,2021.0,1843.0,1648.0,1662.0,1694.0,1675.0,2042.0,1702.0,1845.0,1821.0,1960.0,1953.0,1941.0,1930.0,2001.0,1992.0,1896.0,1856.0,2019.0,2276.0,2246.0,2178.0,2295.0,2408.0,2726.0,2880.0,3063.0,3271.0,3135.0,3210.0,3200.0,3221.0,3006.0,3113.0,3458.0,3495.0,3832.0,2970.0,2877.0,3136.0,2755.0,2649.0,3013.0,2668.0,2835.0,2943.0,2834.0,2853.0,2856.0,2708.0,2961.0,3303.0,3139.0,3081.0,3335.0,2586.0,2399.0,2619.0,2326.0,2379.0,2503.0,2109.0,2066.0,1965.0,2138.0,2036.0,2163.0,2170.0,2088.0,2253.0,2420.0,2435.0,2620.0,2750.0,2867.0,2971.0,3040.0,2935.0,3302.0,3088.0,2580.0,2543.0,2757.0,2664.0,2978.0,3088.0,2626.0,2682.0,3004.0,2634.0,2400.0,2402.0,2427.0,2621.0,2467.0,2329.0,2538.0,2614.0,2814.0,4427.0,4002.0,4111.0,3373.0,3189.0,3213.0,3283.0,3213.0,2886.0,3695.0,4146.0,3998.0,7048.0,5226.0,5469.0,7359.0,8086.0,6643.0,7118.0,8045.0,8029.0,11306.0,9179.0,8914.0,12366.0,10283.0,11495.0,15927.0,12822.0,15442.0,19328.0,16885.0,20737.0,22870.0,19442.0,22722.0,31556.0,28609.0,22297.0,27193.0,18413.0,15682.0,19703.0,15095.0,15818.0,18139.0,13455.0,15844.0,19216.0,12380.0,16450.0,23553.0,19286.0,16826.0,21296.0,13074.0,14145.0,14925.0,9291.0,9217.0,10707.0,7697.0,7253.0,8554.0,6442.0,6345.0,6216.0,5219.0,5447.0,6308.0,6160.0,5928.0,6184.0,5402.0,4701.0,4127.0,3354.0,2922.0,3040.0,2695.0,2574.0,2469.0,2484.0,2567.0,2842.0,2331.0,1759.0,1335.0,1026.0,789.0,545.0,354.0,238.0,178.0,121.0,140.0,115.0,91.0,109.0,112.0,133.0,164.0,178.0,254.0,364.0
ivan,smiling.jpeg,133318.0,2731.0,2538.0,2253.0,2064.0,1688.0,1667.0,1519.0,1341.0,1280.0,1272.0,1198.0,1161.0,1010.0,997.0,944.0,911.0,990.0,969.0,1056.0,980.0,933.0,968.0,956.0,945.0,948.0,956.0,935.0,877.0,926.0,909.0,894.0,878.0,839.0,874.0,880.0,933.0,973.0,956.0,1127.0,1095.0,1200.0,1324.0,1277.0,1409.0,1411.0,1634.0,1703.0,1686.0,1627.0,1692.0,1839.0,1926.0,1783.0,1574.0,1469.0,1618.0,1576.0,1881.0,1635.0,1610.0,1618.0,1697.0,1837.0,1807.0,1714.0,1908.0,1894.0,1779.0,1735.0,1908.0,2146.0,2072.0,2075.0,2207.0,2294.0,2590.0,2675.0,3008.0,3171.0,3002.0,3076.0,3091.0,3164.0,2919.0,2844.0,3303.0,3403.0,3648.0,2904.0,2728.0,2824.0,2629.0,2545.0,2726.0,2483.0,2687.0,2703.0,2671.0,2736.0,2675.0,2638.0,2899.0,3177.0,2989.0,3019.0,3156.0,2433.0,2223.0,2138.0,2215.0,2254.0,2155.0,2021.0,1954.0,1884.0,1998.0,1938.0,2123.0,2073.0,2015.0,2093.0,2212.0,2226.0,2447.0,2535.0,2577.0,2814.0,2853.0,2834.0,3138.0,2940.0,2497.0,2472.0,2600.0,2638.0,2881.0,2971.0,2462.0,2683.0,2845.0,2460.0,2300.0,2259.0,2318.0,2383.0,2312.0,2193.0,2253.0,2249.0,2611.0,3755.0,3630.0,3841.0,3054.0,2818.0,2823.0,2642.0,2564.0,2508.0,2485.0,2828.0,3082.0,4548.0,4062.0,4295.0,6333.0,6826.0,5128.0,5071.0,5175.0,5611.0,7322.0,7057.0,7071.0,10772.0,9538.0,10898.0,14904.0,11798.0,14467.0,17621.0,15295.0,18153.0,20746.0,17875.0,21003.0,28326.0,25890.0,20285.0,23871.0,16731.0,14023.0,18429.0,14077.0,14914.0,17320.0,12728.0,14976.0,18170.0,11428.0,14976.0,21603.0,17344.0,15385.0,19775.0,11940.0,12194.0,13263.0,7963.0,7939.0,8821.0,6565.0,6089.0,7333.0,5100.0,4846.0,4329.0,4023.0,4062.0,4933.0,4454.0,4176.0,4401.0,4083.0,3627.0,3387.0,2779.0,2520.0,2513.0,2329.0,2134.0,2092.0,2128.0,2178.0,2529.0,2004.0,1597.0,1225.0,930.0,723.0,477.0,322.0,209.0,170.0,117.0,111.0,121.0,91.0,105.0,103.0,146.0,156.0,187.0,252.0,357.0
ivan,smiling.jpeg,3321.0,2768.0,2516.0,2212.0,2080.0,1674.0,1652.0,1511.0,1296.0,1276.0,1290.0,1193.0,1128.0,959.0,970.0,899.0,990.0,929.0,960.0,1056.0,951.0,959.0,975.0,901.0,934.0,963.0,976.0,890.0,940.0,947.0,937.0,991.0,992.0,996.0,1040.0,1109.0,1037.0,1030.0,1016.0,1123.0,1207.0,1276.0,1302.0,1308.0,1490.0,1533.0,1648.0,1827.0,1803.0,1722.0,1776.0,1982.0,2021.0,1843.0,1648.0,1662.0,1694.0,1675.0,2042.0,1702.0,1845.0,1821.0,1960.0,1953.0,1941.0,1930.0,2001.0,1992.0,1896.0,1856.0,2019.0,2276.0,2246.0,2178.0,2295.0,2408.0,2726.0,2880.0,3063.0,3271.0,3135.0,3210.0,3200.0,3221.0,3006.0,3113.0,3458.0,3495.0,3832.0,2970.0,2877.0,3136.0,2755.0,2649.0,3013.0,2668.0,2835.0,2943.0,2834.0,2853.0,2856.0,2708.0,2961.0,3303.0,3139.0,3081.0,3335.0,2586.0,2399.0,2619.0,2326.0,2379.0,2503.0,2109.0,2066.0,1965.0,2138.0,2036.0,2163.0,2170.0,2088.0,2253.0,2420.0,2435.0,2620.0,2750.0,2867.0,2971.0,3040.0,2935.0,3302.0,3088.0,2580.0,2543.0,2757.0,2664.0,2978.0,3088.0,2626.0,2682.0,3004.0,2634.0,2400.0,2402.0,2427.0,2621.0,2467.0,2329.0,2538.0,2614.0,2814.0,4427.0,4002.0,4111.0,3373.0,3189.0,3213.0,3283.0,3213.0,2886.0,3695.0,4146.0,3998.0,7048.0,5226.0,5469.0,7359.0,8086.0,6643.0,7118.0,8045.0,8029.0,11306.0,9179.0,8914.0,12366.0,10283.0,11495.0,15927.0,12822.0,15442.0,19328.0,16885.0,20737.0,22870.0,19442.0,22722.0,31556.0,28609.0,22297.0,27193.0,18413.0,15682.0,19703.0,15095.0,15818.0,18139.0,13455.0,15844.0,19216.0,12380.0,16450.0,23553.0,19286.0,16826.0,21296.0,13074.0,14145.0,14925.0,9291.0,9217.0,10707.0,7697.0,7253.0,8554.0,6442.0,6345.0,6216.0,5219.0,5447.0,6308.0,6160.0,5928.0,6184.0,5402.0,4701.0,4127.0,3354.0,2922.0,3040.0,2695.0,2574.0,2469.0,2484.0,2567.0,2842.0,2331.0,1759.0,1335.0,1026.0,789.0,545.0,354.0,238.0,178.0,121.0,140.0,115.0,91.0,109.0,112.0,133.0,164.0,178.0,254.0,364.0
ivan,neutral.jpeg,1418.0,6484.0,2080.0,1687.0,1297.0,1191.0,1138.0,1028.0,1158.0,1153.0,1074.0,974.0,854.0,871.0,856.0,903.0,829.0,794.0,809.0,755.0,776.0,751.0,663.0,622.0,648.0,657.0,701.0,750.0,765.0,809.0,863.0,929.0,1002.0,1052.0,994.0,1021.0,1033.0,1025.0,1058.0,1143.0,1173.0,1328.0,1424.0,1538.0,1637.0,1779.0,2086.0,2280.0,2315.0,2417.0,2111.0,2133.0,2464.0,2496.0,2789.0,3356.0,3552.0,3448.0,3113.0,2462.0,2616.0,2508.0,2283.0,2158.0,2664.0,2004.0,2009.0,2012.0,2090.0,2339.0,2238.0,2392.0,2392.0,2539.0,2537.0,2465.0,2686.0,2873.0,2856.0,2955.0,2816.0,2815.0,2932.0,2937.0,3256.0,3511.0,3016.0,3236.0,3173.0,3206.0,3177.0,3182.0,2946.0,3094.0,3403.0,3291.0,3212.0,3071.0,3014.0,2837.0,2970.0,2972.0,2841.0,2941.0,3398.0,3509.0,4940.0,4440.0,4236.0,4309.0,4121.0,3656.0,4048.0,3527.0,3475.0,3557.0,3533.0,3438.0,3549.0,3519.0,3483.0,3424.0,3554.0,3655.0,3913.0,4242.0,4281.0,3985.0,4029.0,3822.0,4015.0,4214.0,4294.0,4516.0,4372.0,4377.0,4626.0,4854.0,4895.0,4785.0,4813.0,4329.0,4538.0,4096.0,4325.0,4359.0,4511.0,4544.0,4646.0,4898.0,5232.0,5323.0,6555.0,6382.0,7429.0,7093.0,6107.0,6107.0,5784.0,6010.0,6485.0,5876.0,5731.0,5977.0,6422.0,6209.0,7509.0,7641.0,7410.0,10095.0,9558.0,11084.0,12561.0,11190.0,11491.0,12204.0,11120.0,10737.0,14894.0,12109.0,14305.0,21117.0,19293.0,18049.0,22243.0,17946.0,17208.0,25077.0,18840.0,18029.0,19293.0,11079.0,10386.0,13743.0,9122.0,7853.0,9817.0,7274.0,7733.0,13875.0,12719.0,12156.0,16753.0,11119.0,5304.0,5615.0,5324.0,5539.0,6368.0,5734.0,6280.0,7292.0,7738.0,7979.0,9350.0,9148.0,9432.0,10535.0,10129.0,9588.0,9329.0,8620.0,8102.0,7977.0,7117.0,6479.0,5929.0,5593.0,5070.0,4578.0,4034.0,3606.0,3222.0,3108.0,2759.0,2730.0,2310.0,2132.0,2106.0,1724.0,1361.0,1008.0,691.0,459.0,304.0,284.0,298.0,240.0,189.0,84.0,16.0,0.0,1.0,0.0,0.0,0.0
ivan,neutral.jpeg,131277.0,6447.0,2190.0,1697.0,1319.0,1157.0,1179.0,1065.0,1176.0,1154.0,1098.0,987.0,954.0,871.0,874.0,839.0,832.0,830.0,812.0,783.0,787.0,732.0,670.0,689.0,678.0,652.0,714.0,715.0,798.0,825.0,864.0,971.0,983.0,1090.0,1032.0,1043.0,1052.0,1011.0,1066.0,1180.0,1180.0,1301.0,1449.0,1514.0,1671.0,1833.0,2076.0,2279.0,2286.0,2404.0,2119.0,2196.0,2495.0,2544.0,2729.0,3395.0,3579.0,3497.0,3098.0,2529.0,2585.0,2441.0,2300.0,2230.0,2610.0,2104.0,1973.0,2064.0,2089.0,2265.0,2219.0,2490.0,2447.0,2455.0,2458.0,2581.0,2691.0,2923.0,2871.0,2923.0,2738.0,2808.0,2919.0,2939.0,3211.0,3399.0,3081.0,3198.0,3068.0,3207.0,3114.0,3098.0,2954.0,3035.0,3290.0,3225.0,3133.0,3070.0,2904.0,2806.0,2951.0,2859.0,2688.0,2863.0,3336.0,3414.0,4948.0,4377.0,4073.0,4319.0,4029.0,3582.0,3956.0,3493.0,3392.0,3370.0,3467.0,3436.0,3503.0,3489.0,3392.0,3293.0,3399.0,3635.0,3914.0,4089.0,4177.0,3760.0,3906.0,3922.0,3825.0,4016.0,4152.0,4349.0,4206.0,4088.0,4536.0,4553.0,4721.0,4581.0,4509.0,4126.0,4148.0,3999.0,3991.0,4092.0,4227.0,4143.0,4549.0,4488.0,4941.0,5149.0,6164.0,6076.0,7040.0,6850.0,5571.0,5701.0,5232.0,5428.0,5865.0,5292.0,5301.0,5391.0,5722.0,5670.0,6810.0,7169.0,6813.0,9431.0,8894.0,10460.0,11105.0,9846.0,10070.0,10737.0,10030.0,9555.0,12569.0,9197.0,10734.0,15107.0,12698.0,13306.0,17282.0,13903.0,14416.0,21985.0,17175.0,16927.0,18718.0,10697.0,9757.0,12976.0,8191.0,7149.0,8772.0,6019.0,6629.0,12062.0,10871.0,10645.0,9012.0,6533.0,4205.0,4638.0,4397.0,4494.0,5210.0,4515.0,4819.0,5716.0,5896.0,6137.0,7306.0,7161.0,7497.0,8787.0,8544.0,8136.0,8074.0,7409.0,7235.0,6997.0,6164.0,5745.0,5037.0,4911.0,4480.0,4022.0,3595.0,3218.0,3055.0,2697.0,2530.0,2453.0,2126.0,2010.0,2058.0,1679.0,1311.0,950.0,652.0,415.0,293.0,274.0,279.0,242.0,174.0,84.0,16.0,0.0,0.0,0.0,0.0,0.0
ivan,neutral.jpeg,1418.0,6484.0,2080.0,1687.0,1297.0,1191.0,1138.0,1028.0,1158.0,1153.0,1074.0,974.0,854.0,871.0,856.0,903.0,829.0,794.0,809.0,755.0,776.0,751.0,663.0,622.0,648.0,657.0,701.0,750.0,765.0,809.0,863.0,929.0,1002.0,1052.0,994.0,1021.0,1033.0,1025.0,1058.0,1143.0,1173.0,1328.0,1424.0,1538.0,1637.0,1779.0,2086.0,2280.0,2315.0,2417.0,2111.0,2133.0,2464.0,2496.0,2789.0,3356.0,3552.0,3448.0,3113.0,2462.0,2616.0,2508.0,2283.0,2158.0,2664.0,2004.0,2009.0,2012.0,2090.0,2339.0,2238.0,2392.0,2392.0,2539.0,2537.0,2465.0,2686.0,2873.0,2856.0,2955.0,2816.0,2815.0,2932.0,2937.0,3256.0,3511.0,3016.0,3236.0,3173.0,3206.0,3177.0,3182.0,2946.0,3094.0,3403.0,3291.0,3212.0,3071.0,3014.0,2837.0,2970.0,2972.0,2841.0,2941.0,3398.0,3509.0,4940.0,4440.0,4236.0,4309.0,4121.0,3656.0,4048.0,3527.0,3475.0,3557.0,3533.0,3438.0,3549.0,3519.0,3483.0,3424.0,3554.0,3655.0,3913.0,4242.0,4281.0,3985.0,4029.0,3822.0,4015.0,4214.0,4294.0,4516.0,4372.0,4377.0,4626.0,4854.0,4895.0,4785.0,4813.0,4329.0,4538.0,4096.0,4325.0,4359.0,4511.0,4544.0,4646.0,4898.0,5232.0,5323.0,6555.0,6382.0,7429.0,7093.0,6107.0,6107.0,5784.0,6010.0,6485.0,5876.0,5731.0,5977.0,6422.0,6209.0,7509.0,7641.0,7410.0,10095.0,9558.0,11084.0,12561.0,11190.0,11491.0,12204.0,11120.0,10737.0,14894.0,12109.0,14305.0,21117.0,19293.0,18049.0,22243.0,17946.0,17208.0,25077.0,18840.0,18029.0,19293.0,11079.0,10386.0,13743.0,9122.0,7853.0,9817.0,7274.0,7733.0,13875.0,12719.0,12156.0,16753.0,11119.0,5304.0,5615.0,5324.0,5539.0,6368.0,5734.0,6280.0,7292.0,7738.0,7979.0,9350.0,9148.0,9432.0,10535.0,10129.0,9588.0,9329.0,8620.0,8102.0,7977.0,7117.0,6479.0,5929.0,5593.0,5070.0,4578.0,4034.0,3606.0,3222.0,3108.0,2759.0,2730.0,2310.0,2132.0,2106.0,1724.0,1361.0,1008.0,691.0,459.0,304.0,284.0,298.0,240.0,189.0,84.0,16.0,0.0,1.0,0.0,0.0,0.0
duba,surprised.jpeg,449.0,24.0,30.0,33.0,24.0,29.0,27.0,30.0,23.0,34.0,32.0,48.0,55.0,104.0,195.0,225.0,283.0,259.0,540.0,420.0,391.0,371.0,377.0,517.0,313.0,332.0,381.0,346.0,438.0,376.0,508.0,808.0,894.0,1133.0,1508.0,2189.0,3223.0,5000.0,5794.0,5303.0,6766.0,7591.0,6356.0,6545.0,5998.0,5554.0,4016.0,3805.0,2858.0,2830.0,3224.0,2668.0,2596.0,2352.0,2494.0,2643.0,2493.0,2435.0,2516.0,2412.0,2462.0,2563.0,2954.0,3792.0,4658.0,7525.0,9829.0,9722.0,8689.0,8452.0,7396.0,6823.0,5311.0,3848.0,3138.0,2768.0,2467.0,2816.0,2500.0,2615.0,2556.0,2834.0,3121.0,3117.0,3283.0,3361.0,3085.0,2718.0,2464.0,2646.0,2836.0,2642.0,2824.0,2658.0,2274.0,2401.0,2425.0,3234.0,2915.0,2568.0,2559.0,2726.0,2360.0,2761.0,2408.0,2408.0,2067.0,2158.0,1902.0,1752.0,1667.0,1420.0,1489.0,1666.0,2279.0,1900.0,1704.0,1529.0,1368.0,1275.0,983.0,909.0,932.0,833.0,888.0,734.0,716.0,663.0,746.0,652.0,658.0,707.0,581.0,621.0,578.0,641.0,631.0,530.0,497.0,536.0,558.0,554.0,518.0,494.0,433.0,404.0,367.0,394.0,300.0,290.0,296.0,295.0,302.0,280.0,257.0,314.0,316.0,318.0,435.0,352.0,525.0,510.0,487.0,480.0,532.0,581.0,940.0,885.0,1595.0,3247.0,5686.0,5098.0,3879.0,2196.0,2351.0,2105.0,2192.0,2689.0,1847.0,2478.0,2193.0,3250.0,2512.0,2698.0,3357.0,3412.0,3929.0,4587.0,6159.0,7987.0,8860.0,8418.0,11050.0,10162.0,8215.0,8990.0,9226.0,6906.0,8484.0,8253.0,8489.0,8994.0,7003.0,7047.0,8556.0,3718.0,3286.0,2765.0,2673.0,3227.0,4221.0,6959.0,9131.0,8153.0,9263.0,12788.0,14940.0,20438.0,14811.0,12943.0,12859.0,13531.0,15506.0,16534.0,13816.0,12393.0,10451.0,7120.0,2696.0,2541.0,1449.0,752.0,95.0,232.0,124.0,202.0,212.0,166.0,306.0,392.0,309.0,301.0,22212.0,324.0,350.0,360.0,151.0,164.0,139.0,130.0,298.0,362.0,206.0,470.0,2709.0,58995.0
